,What happened?,Where is the delay?,Where is the construction?,Where is the incident?,Where is the event?,Where is the closure?,Cleared or Updated?
29,Construction on GallowayRoad,,GallowayRoad,,,,
30,Construction,QueensMidtownTunnel,QueensMidtownTunnel,QueensMidtownTunnel,QueensMidtownTunnel,,
31,Construction on HollandTunnel WB from New York Side - North Tube to New Jersey Side - North Tube,,HollandTunnel WB,,Construction on HollandTunnel WB from New York Side - North Tube to New Jersey Side - North Tube,,
32,Construction on HollandTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,,HollandTunnel EB,,Construction on HollandTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,,
33,Closure on CrescentStreet from Jamaica Avenue to Wharton Place,,,Closure on CrescentStreet from Jamaica Avenue to Wharton Place,Closure on CrescentStreet from Jamaica Avenue to Wharton Place,CrescentStreet from Jamaica Avenue to Wharton Place,Cleared
34,Closure on CrescentStreet from Ridgewood Avenue to Adler Place,,,Closure on CrescentStreet from Ridgewood Avenue to Adler Place,Closure on CrescentStreet from Ridgewood Avenue to Adler Place,CrescentStreet from Ridgewood Avenue to Adler Place,Cleared
35,Closure on CrescentStreet from Kiely Place to Rigewood Avenue,,,Closure on CrescentStreet from Kiely Place to Rigewood Avenue,Closure on CrescentStreet from Kiely Place to Rigewood Avenue,CrescentStreet from Kiely Place to Rigewood Avenue,Cleared
36,Construction on ThrogsNeckBridge NB at Bronx Bound,,ThrogsNeckBridge NB at Bronx Bound,Construction on ThrogsNeckBridge NB at Bronx Bound,Construction on ThrogsNeckBridge NB at Bronx Bound,,Cleared
37,Construction on WestchesterAvenue WB from Kenilworth Road to Bryant Avenue,,WestchesterAvenue WB from Kenilworth Road to Bryant Avenue,Construction on WestchesterAvenue WB from Kenilworth Road to Bryant Avenue,Construction on WestchesterAvenue WB from Kenilworth Road to Bryant Avenue,,Cleared
38,Construction on BayonneBridge SB at New York Side,,BayonneBridge SB at New York Side,,Construction on BayonneBridge SB at New York Side,,Cleared
39,Construction on BronxwhitestoneBridge NB at Bronx Bound,,BronxwhitestoneBridge NB at Bronx Bound,Construction on BronxwhitestoneBridge NB at Bronx Bound,Bronx Bound,,Cleared
40,Construction on VerrazanonarrowsBridge WB at Staten Island Bound Lower Level,,VerrazanonarrowsBridge WB,,,,Cleared
41,Construction on PortNewarkElizabethMarineTerminal,,PortNewarkElizabethMarineTerminal,Construction on PortNewarkElizabethMarineTerminal,Construction on PortNewarkElizabethMarineTerminal,,Cleared
42,Construction on KingstonrhinecliffBridge,,KingstonrhinecliffBridge,,Construction on KingstonrhinecliffBridge,,Cleared
43,Incident on GeorgeWashingtonBridge WB at New York Side/Lower Level,,,GeorgeWashingtonBridge WB at New York Side/Lower Level,New York Side/Lower Level,,
44,Construction on TaconicStateParkway SB at Lakeview Avenue,,TaconicStateParkway SB at Lakeview Avenue,,TaconicStateParkway SB at Lakeview Avenue,,Cleared
45,Construction on BayonneBridge NB,,BayonneBridge NB,,Construction on BayonneBridge NB from New York Side to New Jersey Side,,Cleared
46,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,New York Side/Upper Level,,
47,Construction on GardenStateParkway SB at Essex Toll Plaza,,Essex Toll Plaza,Essex Toll Plaza,Essex Toll Plaza,,
48,,,,HollandTunnel WB,HollandTunnel WB,,
49,Construction on TaconicStateParkway NB at Lakeview Avenue,,TaconicStateParkway NB at Lakeview Avenue,,TaconicStateParkway NB at Lakeview Avenue,,Cleared
50,,,,VerrazanonarrowsBridge,VerrazanonarrowsBridge,,
51,Construction on NewJerseyTurnpikeHudsonCountyExtension EB from New Jersey Turnpike South to West of Newark Bay,,New Jersey Turnpike South to West of Newark Bay,New Jersey Turnpike South to West of Newark Bay,New Jersey Turnpike South to West of Newark Bay,,
52,Construction,,from East of Newark Bay Bridge to East of Interchange,East of Newark Bay Bridge to East of Interchange,East of Newark Bay Bridge to East of Interchange,,
53,Closure on JeffersonStreet,,,Closure on JeffersonStreet,Closure on JeffersonStreet,JeffersonStreet,Cleared
54,Construction on BetsyRossBridge WB at Mid-Span,,BetsyRossBridge WB,,BetsyRossBridge WB,,Updated
55,Construction on HudsonTerrace NB from Bruce Renolds Boulevard to Merkle Street,,HudsonTerrace NB from Bruce Renolds Boulevard to Merkle Street,Construction on HudsonTerrace NB from Bruce Renolds Boulevard to Merkle Street,HudsonTerrace NB from Bruce Renolds Boulevard to Merkle Street,,
56,Construction,Construction on WestchesterAvenue WB from Kenilworth Road to Bryant Avenue,from Kenilworth Road to Bryant Avenue,Construction on WestchesterAvenue WB from Kenilworth Road to Bryant Avenue,Kenilworth Road to Bryant Avenue,,
57,Construction on TaconicStateParkway SB at Lakeview Avenue,,Lakeview Avenue,,Lakeview Avenue,,
58,Construction,,VerrazanonarrowsBridge WB at Staten Island Bound Lower Level,Staten Island,Staten Island,,
59,Construction on TaconicStateParkway NB at Lakeview Avenue,,Lakeview Avenue,,Lakeview Avenue,,
60,Construction on OceanParkwayNassauSuffolk WB from Robert Moses State Parkway to Oak Beach Road,,OceanParkwayNassauSuffolk WB from Robert Moses State Parkway to Oak Beach Road,,Robert Moses State Parkway to Oak Beach Road,,
61,Construction,,ThrogsNeckBridge NB at Bronx Bound,Construction on ThrogsNeckBridge NB at Bronx Bound,Bronx Bound,,
62,Construction on KingstonrhinecliffBridge,,KingstonrhinecliffBridge,,Construction on KingstonrhinecliffBridge,,
63,Construction,,BronxwhitestoneBridge NB at Bronx Bound,Construction on BronxwhitestoneBridge NB at Bronx Bound,Bronx Bound,,
64,Construction,,BetsyRossBridge WB,Construction on BetsyRossBridge WB,BetsyRossBridge WB,,
65,Closure on JeffersonStreet,JeffersonStreet Both directions from Main Street to Johnson Avenue,,Closure on JeffersonStreet,Closure on JeffersonStreet,JeffersonStreet Both directions from Main Street to Johnson Avenue,
66,Incident on RFKTriboroughBridge All directions,,,RFKTriboroughBridge,RFKTriboroughBridge,,Cleared
67,Incident on CrossBayBridge Both directions,,,CrossBayBridge Both directions,CrossBayBridge Both directions,,Cleared
68,Construction on MountReadBoulevard NB from START ROUTE Mount Read Boulevard; Buffalo Road to Lyell,,MountReadBoulevard NB,,,,Updated
69,Incident on HenryHudsonBridge Both directions,,,HenryHudsonBridge,HenryHudsonBridge,,Cleared
70,Incident on MarineParkwayBridge Both directions,,,MarineParkwayBridge,MarineParkwayBridge,,Cleared
71,Incident on VerrazanonarrowsBridge Both directions,,,VerrazanonarrowsBridge,VerrazanonarrowsBridge,,Cleared
72,Cleared: Incident on BronxwhitestoneBridge Both directions,,,BronxwhitestoneBridge,BronxwhitestoneBridge,,Cleared
73,Cleared: Incident on QueensMidtownTunnel Both directions,,,QueensMidtownTunnel,QueensMidtownTunnel,,Cleared
74,Incident on ThrogsNeckBridge Both directions,,,ThrogsNeckBridge,ThrogsNeckBridge,,Cleared
75,Cleared: Incident on BrooklynBatteryTunnel Both directions,,,BrooklynBatteryTunnel Both directions,BrooklynBatteryTunnel Both directions,,Cleared
76,Construction on HollandTunnel WB from New York Side - North Tube to New Jersey Side - North Tube,,HollandTunnel WB,,,,Cleared
77,Construction on QueensMidtownTunnel Both directions,,QueensMidtownTunnel,Construction on QueensMidtownTunnel,Construction on QueensMidtownTunnel,,Cleared
78,Construction on HollandTunnel EB from New Jersey Side - South Tube to New York Side - South Tube,,HollandTunnel EB,,,,Cleared
79,Construction on QueensboroBridge EB,,QueensboroBridge EB,Construction on QueensboroBridge EB at Manhattan/Queens Bound,Construction on QueensboroBridge EB at Manhattan/Queens Bound,,Cleared
80,,,,Unknown,Incident Unknown,,Cleared: Incident Unknown
81,,,,South Erie,South Erie,,
82,Incident on QueensMidtownTunnel Both directions,,QueensMidtownTunnel,QueensMidtownTunnel,QueensMidtownTunnel,,
83,Incident on BrooklynBatteryTunnel Both directions,,BrooklynBatteryTunnel,BrooklynBatteryTunnel,BrooklynBatteryTunnel,,
84,Incident on ThrogsNeckBridge Both directions,,,ThrogsNeckBridge,ThrogsNeckBridge,,
85,Closure on FranklinStreet,,,Closure on FranklinStreet from Church Avenue to Broadway,Closure on FranklinStreet,FranklinStreet,Cleared
86,Incident on RFKTriboroughBridge All directions,,,RFKTriboroughBridge,RFKTriboroughBridge,,
87,Incident on BronxwhitestoneBridge Both directions,BronxwhitestoneBridge,BronxwhitestoneBridge,BronxwhitestoneBridge,BronxwhitestoneBridge,BronxwhitestoneBridge,Incident on BronxwhitestoneBridge Both directions
88,Incident on VerrazanonarrowsBridge Both directions,,,VerrazanonarrowsBridge,VerrazanonarrowsBridge,,
89,,,,MarineParkwayBridge,MarineParkwayBridge,,
90,Incident on CrossBayBridge Both directions,,,CrossBayBridge,CrossBayBridge,,
91,,,,HenryHudsonBridge,HenryHudsonBridge,,
92,Incident on HobokennjTransitTerminalRoute at Hoboken/NJ Transit Terminal,,,Hoboken/NJ Transit Terminal,Hoboken/NJ Transit Terminal,,Cleared
93,Construction on Systemwide Both directions from New Hyde Park to Hicksville,,New Hyde Park to Hicksville,,New Hyde Park to Hicksville,,Updated
94,Construction on Systemwide Both directions,,New Hyde Park to Hicksville,,New Hyde Park to Hicksville,,
95,Construction on Systemwide Both directions from New Hyde Park to Hicksville,,New Hyde Park to Hicksville,,New Hyde Park to Hicksville,,Cleared
96,Construction on Systemwide Both directions from New Hyde Park to Hicksville,,New Hyde Park to Hicksville,,New Hyde Park to Hicksville,,Updated
97,Incident on QueensMidtownTunnel Both directions,,QueensMidtownTunnel,QueensMidtownTunnel,QueensMidtownTunnel,,
98,Incident on VerrazanonarrowsBridge Both directions,,,VerrazanonarrowsBridge,VerrazanonarrowsBridge,,
99,,,,HenryHudsonBridge,HenryHudsonBridge,,
100,Incident on ThrogsNeckBridge Both directions,,,ThrogsNeckBridge,ThrogsNeckBridge,,
101,Incident on RFKTriboroughBridge All directions,,,RFKTriboroughBridge,RFKTriboroughBridge,,
102,,,,MarineParkwayBridge,MarineParkwayBridge,,
103,Incident on BronxwhitestoneBridge Both directions,BronxwhitestoneBridge,BronxwhitestoneBridge,BronxwhitestoneBridge,BronxwhitestoneBridge,BronxwhitestoneBridge,Incident on BronxwhitestoneBridge Both directions
104,Incident on CrossBayBridge Both directions,,,CrossBayBridge,CrossBayBridge,,
105,Incident on BrooklynBatteryTunnel Both directions,,BrooklynBatteryTunnel,BrooklynBatteryTunnel,BrooklynBatteryTunnel,,
106,Special Event on PrudentialCenterROCK,,,PrudentialCenterROCK,PrudentialCenterROCK,,Updated
107,Special Event on PrudentialCenterROCK,,,PrudentialCenterROCK,PrudentialCenterROCK,,
108,Closure on QueensboroBridge EB,QueensboroBridge EB from Manhattan Side to Queens Side,,Closure on QueensboroBridge EB from Manhattan Side to Queens Side,Closure on QueensboroBridge EB from Manhattan Side to Queens Side,QueensboroBridge EB from Manhattan Side to Queens Side,
109,Closure on GeorgeWashingtonBridge EB at Palisades Interstate Parkway Toll Plaza,Palisades Interstate Parkway Toll Plaza,,Palisades Interstate Parkway Toll Plaza,Palisades Interstate Parkway Toll Plaza,Palisades Interstate Parkway Toll Plaza,
110,Incident on VerrazanonarrowsBridge at Brooklyn Bound Upper Level,,,VerrazanonarrowsBridge at Brooklyn Bound Upper Level,VerrazanonarrowsBridge at Brooklyn Bound Upper Level,,Cleared
111,Construction on PortNewarkElizabethMarineTerminal,,PortNewarkElizabethMarineTerminal,Construction on PortNewarkElizabethMarineTerminal,Construction on PortNewarkElizabethMarineTerminal,,Cleared
112,Construction on PortNewarkElizabethMarineTerminal,,PortNewarkElizabethMarineTerminal,Construction on PortNewarkElizabethMarineTerminal,Construction on PortNewarkElizabethMarineTerminal,,Updated
113,Incident on VerrazanonarrowsBridge at Brooklyn Bound Upper Level,,,VerrazanonarrowsBridge at Brooklyn Bound Upper Level,Brooklyn Bound Upper Level,,
114,Cleared: Incident on SprainBrookStateParkway SB at Bradhurst Avenue; Ramp,,,SprainBrookStateParkway SB at Bradhurst Avenue,SprainBrookStateParkway SB at Bradhurst Avenue,,Cleared
115,Incident on CrossBayBridge Both directions,,,CrossBayBridge Both directions,CrossBayBridge Both directions,,Cleared
116,Cleared: Incident on BrooklynBatteryTunnel Both directions,,,BrooklynBatteryTunnel Both directions,BrooklynBatteryTunnel Both directions,,Cleared
117,Cleared: Incident on BronxwhitestoneBridge Both directions,,,BronxwhitestoneBridge,BronxwhitestoneBridge,,Cleared
118,Incident on HenryHudsonBridge Both directions,,,HenryHudsonBridge,HenryHudsonBridge,,Cleared
119,Incident on MarineParkwayBridge Both directions,,,MarineParkwayBridge,MarineParkwayBridge,,Cleared
120,Incident on VerrazanonarrowsBridge Both directions,,,VerrazanonarrowsBridge,VerrazanonarrowsBridge,,Cleared
121,Incident on RFKTriboroughBridge All directions,,,RFKTriboroughBridge,RFKTriboroughBridge,,Cleared
122,Cleared: Incident on QueensMidtownTunnel Both directions,,,QueensMidtownTunnel,QueensMidtownTunnel,,Cleared
123,Incident on ThrogsNeckBridge Both directions,,,ThrogsNeckBridge,ThrogsNeckBridge,,Cleared
124,Incident on SprainBrookStateParkway SB at Bradhurst Avenue,,Bradhurst Avenue,SprainBrookStateParkway SB at Bradhurst Avenue,SprainBrookStateParkway SB at Bradhurst Avenue,,
125,Incident on JervisLine,,,JervisLine,Incident on JervisLine,,
126,,,,PortLine,Incident on PortLine,,
127,,,,JervisLine,JervisLine,,Updated
128,,,,PortLine,Incident on PortLine,,
129,,,,Unknown,Incident Unknown,,Cleared: Incident Unknown
130,,,,South Erie,South Erie,,
131,Cleared: Construction on BlossomRoad EB from Landing Road North to Browncroft Boulevard,,BlossomRoad EB from Landing Road North to Browncroft Boulevard,Construction on BlossomRoad EB from Landing Road North to Browncroft Boulevard,Construction on BlossomRoad EB from Landing Road North to Browncroft Boulevard,,Cleared
132,Cleared: Incident on GeorgeWashingtonBridge EB at Mid-Span/Upper Level,,,GeorgeWashingtonBridge EB at Mid-Span/Upper Level,GeorgeWashingtonBridge EB at Mid-Span/Upper Level,,Cleared
133,Incident on GeorgeWashingtonBridge EB at Mid-Span/Upper Level,,,GeorgeWashingtonBridge EB at Mid-Span/Upper Level,GeorgeWashingtonBridge EB at Mid-Span/Upper Level,,Updated
134,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Upper Level,,,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level,,
135,Construction on GeorgeWashingtonBridge WB from New York Side/Upper Level to New Jersey Side/Upper Level,,GeorgeWashingtonBridge WB,,GeorgeWashingtonBridge WB,,Cleared
136,Construction on GeorgeWashingtonBridge WB from New York Side/Upper Level to New Jersey Side/Upper Level,,GeorgeWashingtonBridge WB,,GeorgeWashingtonBridge WB,,Updated
137,Incident on GoethalsBridge WB at New Jersey Turnpike,,,New Jersey Turnpike,New Jersey Turnpike,,Cleared
138,Incident on GoethalsBridge WB at New Jersey Turnpike,,,New Jersey Turnpike,New Jersey Turnpike,,Updated
139,Incident on BeltSystemSouthernParkway WB at Lefferts Boulevard,,,BeltSystemSouthernParkway WB at Lefferts Boulevard,BeltSystemSouthernParkway WB at Lefferts Boulevard,,Cleared
140,Incident on BeltSystemSouthernParkway WB at Lefferts Boulevard,,,BeltSystemSouthernParkway WB at Lefferts Boulevard,BeltSystemSouthernParkway WB at Lefferts Boulevard,,
141,Construction on GeorgeWashingtonBridge EB at Palisades Interstate Parkway Toll Plaza,,GeorgeWashingtonBridge EB at Palisades Interstate Parkway Toll Plaza,,Palisades Interstate Parkway Toll Plaza,,Cleared
142,Incident on GoethalsBridge WB at New Jersey Turnpike,,New Jersey Turnpike,New Jersey Turnpike,New Jersey Turnpike,,
143,Construction,,BlossomRoad EB from Landing Road North to Browncroft Boulevard,Construction on BlossomRoad EB from Landing Road North to Browncroft Boulevard,BlossomRoad EB from Landing Road North to Browncroft Boulevard,,
144,Construction on GeorgeWashingtonBridge EB at Palisades Interstate Parkway Toll Plaza,,GeorgeWashingtonBridge EB at Palisades Interstate Parkway Toll Plaza,,Palisades Interstate Parkway Toll Plaza,,Updated
145,Incident on HollandTunnel WB at Mid-Tunnel - North Tube,,,HollandTunnel WB at Mid-Tunnel - North Tube,Mid-Tunnel - North Tube,,Updated
146,Incident on HollandTunnel WB at Mid-Tunnel - North Tube,,,HollandTunnel WB at Mid-Tunnel - North Tube,HollandTunnel WB at Mid-Tunnel - North Tube,,
147,,,PortNewarkElizabethMarineTerminal,PortNewarkElizabethMarineTerminal,PortNewarkElizabethMarineTerminal,,
148,Incident on BeltSystemCrossIslandParkway SB at START ROUTE Belt System,,,BeltSystemCrossIslandParkway SB at START ROUTE Belt System,BeltSystemCrossIslandParkway SB at START ROUTE Belt System,,Cleared
149,Incident on BeltSystemCrossIslandParkway SB at START ROUTE Belt System,,,BeltSystemCrossIslandParkway SB at START ROUTE Belt System,BeltSystemCrossIslandParkway SB at START ROUTE Belt System,,
150,Special Event on PrudentialCenterROCK,,,PrudentialCenterROCK,PrudentialCenterROCK,,Updated
151,,,,MeadowlandsRacetrack,MeadowlandsRacetrack,,
152,,,,PrudentialCenterROCK,PrudentialCenterROCK,,
153,Incident on WaltWhitmanBridge,,,WaltWhitmanBridge,WaltWhitmanBridge,,Updated
154,,,,OTHER NB,Incident on OTHER NB,,Cleared
155,Incident on GardenStateParkway SB at Pascack Valley Toll Plaza,,,on GardenStateParkway SB at Pascack Valley Toll Plaza,Pascack Valley Toll Plaza,,Cleared
156,Construction on BronxwhitestoneBridge,,BronxwhitestoneBridge,Construction on BronxwhitestoneBridge,Construction on BronxwhitestoneBridge,,Cleared
157,Incident on GardenStateParkway SB at Pascack Valley Toll Plaza,,Pascack Valley Toll Plaza,on GardenStateParkway SB at Pascack Valley Toll Plaza,Pascack Valley Toll Plaza,,
158,,,ThrogsNeckBridge SB,,,,Cleared
159,Incident on WaltWhitmanBridge,,,WaltWhitmanBridge,WaltWhitmanBridge,,
160,Construction,,QueensboroBridge,Construction on QueensboroBridge,Construction on QueensboroBridge,,
161,Incident on HudsonBergenLightRail,,,HudsonBergenLightRail,HudsonBergenLightRail,,Cleared
162,Incident on HudsonBergenLightRail,,Liberty State Park,HudsonBergenLightRail,Liberty State Park,,Updated
163,Construction on VerrazanonarrowsBridge EB,,VerrazanonarrowsBridge EB at Brooklyn Bound,Brooklyn Bound,Brooklyn Bound,,
164,Incident on HudsonBergenLightRail,,Liberty State Park,HudsonBergenLightRail,Liberty State Park,,
165,Incident on FarRockawayBranch EB at Atlantic Terminal,,,Atlantic Terminal,Atlantic Terminal,,Cleared
166,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,New York Side/Upper Level,,Updated
167,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,Cleared
168,,,FletcherStreet from Front Street to South Street,,Construction on FletcherStreet,,Cleared
169,Incident on FarRockawayBranch EB at Atlantic Terminal,,,Atlantic Terminal,Atlantic Terminal,,
170,Closure on LincolnTunnel,Closure on LincolnTunnel,,Closure on LincolnTunnel,Closure on LincolnTunnel,LincolnTunnel,
171,Construction on LincolnTunnel,,LincolnTunnel,,Construction on LincolnTunnel,,Updated
172,Construction on Systemwide Both directions from New Hyde Park to Hicksville,,New Hyde Park to Hicksville,,New Hyde Park to Hicksville,,Updated
173,Construction on FletcherStreet,,FletcherStreet from Front Street to South Street,Construction on FletcherStreet,Construction on FletcherStreet,,Updated
174,Construction on GallowayRoad Both directions from Hogback Hill Road to Palmyra Newark Road,,GallowayRoad,,,,Cleared
175,Construction on Systemwide Both directions,,New Hyde Park to Hicksville,,New Hyde Park to Hicksville,,
176,Special Event,,,Manhattan Bound,BrooklynBatteryTunnel at Manhattan Bound,,
177,Incident on ALine SB at Broadway Junction,,,Broadway Junction,Broadway Junction,,Cleared
178,Incident on ALine SB at Broadway Junction,,,Broadway Junction,Broadway Junction,,
179,Construction,Bronx/Queens,BronxwhitestoneBridge,Bronx/Queens,Construction on BronxwhitestoneBridge,,Construction on BronxwhitestoneBridge
180,Incident on GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,,
181,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,GeorgeWashingtonBridge WB at New York Side/Upper Level,,Cleared
182,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,New York Side/Upper Level,,
183,Construction on GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,,GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,
184,Construction on GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway,,GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway,Construction on GeorgeWashingtonBridge EB at Upper Trans Manhattan Expressway,Upper Trans Manhattan Expressway,,
185,Special Event on NJPerformingArtsCenter at Victoria Theater,,,Victoria Theater,Victoria Theater,,Updated
186,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,New York Side/Upper Level,,
187,Incident on ALine SB at Broadway Junction,,,Broadway Junction,Broadway Junction,,
188,Construction on GeorgeWashingtonBridge WB at Lower Trans Manhattan Expressway,,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,
189,Special Event on BarclaysCenter,,,BarclaysCenter,BarclaysCenter,,Updated
190,Special Event on NJPerformingArtsCenter at Victoria Theater,,,Victoria Theater,Victoria Theater,,Updated
191,Special Event on NJPerformingArtsCenter at Victoria Theater,,,Victoria Theater,Victoria Theater,,Cleared
192,Special Event on BarclaysCenter,,,BarclaysCenter,BarclaysCenter,,Cleared
193,Incident on HollandTunnel EB at New Jersey,,,HollandTunnel EB at New Jersey,HollandTunnel EB at New Jersey,,Cleared
194,Special Event on MadisonSquareGarden at the Arena,,,at the Arena,the Arena,,Cleared
195,Special Event on MadisonSquareGarden at the Arena,,,at the Arena,the Arena,,Updated
196,Construction,,from Park Drive to Queens Blvd,Construction on UnionTurnpike WB from Park Drive to Queens Blvd,Park Drive to Queens Blvd,,
197,Incident on BeltSystemCrossIslandParkway NB at Linden Boulevard,,,BeltSystemCrossIslandParkway NB at Linden Boulevard,BeltSystemCrossIslandParkway NB at Linden Boulevard,,Cleared
198,Incident on HollandTunnel EB at New Jersey,,New Jersey,HollandTunnel EB at New Jersey,New Jersey,,
199,Incident on BeltSystemCrossIslandParkway NB at Linden Boulevard,,,BeltSystemCrossIslandParkway NB at Linden Boulevard,BeltSystemCrossIslandParkway NB at Linden Boulevard,,
200,,,,MarineParkwayBridge,MarineParkwayBridge,,
201,Incident on PulaskiSkyway SB at Tonnelle Circle,,,Tonnelle Circle,Tonnelle Circle,,Cleared
202,Incident on RFKTriboroughBridge All directions,,,RFKTriboroughBridge,RFKTriboroughBridge,,
203,Incident on ThrogsNeckBridge Both directions,,,ThrogsNeckBridge,ThrogsNeckBridge,,
204,Incident on VerrazanonarrowsBridge Both directions,,,VerrazanonarrowsBridge,VerrazanonarrowsBridge,,
205,,,,HenryHudsonBridge,HenryHudsonBridge,,
206,Incident on CrossBayBridge Both directions,,,CrossBayBridge,CrossBayBridge,,
