,0
1090,1
1091,3
1092,3
1093,3
1094,1
1095,3
1096,1
1097,1
1098,1
1099,1
1100,4
1101,4
1102,1
1103,1
1104,1
1105,4
1106,4
1107,4
1108,4
1109,3
1110,3
1111,4
1112,3
1113,4
1114,3
1115,4
1116,4
1117,1
1118,3
1119,1
1120,3
1121,3
1122,4
1123,4
1124,4
1125,4
1126,3
1127,4
1128,1
1129,4
1130,1
1131,4
1132,1
1133,1
1134,1
1135,1
1136,1
1137,1
1138,1
1139,1
1140,3
1141,3
1142,4
1143,3
1144,4
1145,3
1146,4
1147,4
1148,1
1149,1
1150,1
1151,1
1152,4
1153,4
1154,4
1155,4
1156,3
1157,4
1158,4
1159,1
1160,4
1161,4
1162,1
1163,4
1164,1
1165,4
1166,4
1167,3
1168,4
1169,4
1170,3
1171,2
1172,2
1173,3
1174,4
1175,4
1176,4
1177,4
1178,4
1179,1
1180,1
1181,1
1182,1
1183,3
1184,1
1185,3
1186,1
1187,4
1188,4
1189,4
1190,4
1191,4
1192,4
1193,4
1194,1
1195,1
1196,3
1197,3
1198,1
1199,1
1200,3
1201,3
1202,1
1203,1
1204,1
1205,1
1206,1
1207,3
1208,3
1209,3
1210,3
1211,3
1212,1
1213,3
1214,3
1215,3
1216,3
1217,3
1218,3
1219,3
1220,1
1221,1
1222,1
1223,1
1224,1
1225,1
1226,1
1227,1
1228,1
1229,1
1230,1
1231,1
1232,1
1233,4
1234,1
1235,1
1236,1
1237,1
1238,1
1239,1
1240,1
1241,1
1242,1
1243,1
1244,1
1245,1
1246,1
1247,5
1248,1
1249,4
1250,3
1251,3
1252,4
1253,4
1254,4
1255,4
1256,4
1257,4
1258,1
1259,1
1260,4
1261,3
1262,3
1263,1
1264,4
1265,4
1266,1
1267,1
1268,1
1269,1
1270,4
1271,1
1272,1
1273,4
1274,4
1275,1
1276,2
1277,4
1278,1
1279,1
1280,1
1281,2
1282,5
1283,4
1284,1
1285,1
1286,1
1287,1
1288,1
1289,3
1290,3
1291,1
1292,4
1293,1
1294,4
1295,3
1296,3
1297,3
1298,1
1299,1
1300,4
1301,3
1302,1
1303,1
1304,1
1305,3
1306,1
1307,3
1308,3
1309,1
1310,1
1311,1
1312,4
1313,1
1314,4
1315,1
1316,4
1317,1
1318,1
1319,4
1320,4
1321,1
1322,3
1323,4
1324,3
1325,3
1326,4
1327,4
1328,3
1329,3
1330,4
1331,4
1332,4
1333,2
1334,3
1335,1
1336,2
1337,3
1338,1
1339,2
1340,3
1341,4
1342,4
1343,4
1344,3
1345,3
1346,4
1347,1
1348,4
1349,1
1350,4
1351,1
1352,4
1353,1
1354,1
1355,1
1356,1
1357,1
1358,4
1359,4
1360,4
1361,4
1362,1
1363,4
1364,4
1365,4
1366,4
1367,4
1368,4
1369,4
1370,4
1371,4
1372,4
1373,1
1374,1
1375,1
1376,4
1377,4
1378,4
1379,4
1380,4
1381,1
1382,4
1383,1
1384,4
1385,4
1386,1
1387,1
1388,4
1389,4
1390,1
1391,4
1392,4
1393,4
1394,4
1395,4
1396,4
1397,1
1398,1
1399,4
1400,4
1401,4
1402,4
1403,4
1404,4
1405,4
1406,4
1407,4
1408,4
1409,4
1410,4
1411,4
1412,4
1413,4
1414,3
1415,4
1416,4
1417,4
1418,4
1419,3
1420,2
1421,2
1422,3
1423,4
1424,1
1425,3
1426,1
1427,3
1428,1
1429,1
1430,4
1431,4
1432,3
1433,3
1434,3
1435,4
1436,3
1437,1
1438,3
1439,3
1440,4
1441,2
1442,1
1443,4
1444,3
1445,5
1446,3
1447,3
1448,3
1449,5
1450,5
1451,3
1452,3
1453,2
1454,2
1455,2
1456,2
1457,3
1458,1
1459,4
1460,3
1461,5
1462,4
1463,4
1464,1
1465,4
1466,2
1467,1
1468,5
1469,2
1470,2
1471,2
1472,4
1473,4
1474,4
1475,4
1476,4
1477,4
1478,4
1479,4
1480,5
1481,2
1482,4
1483,4
1484,4
1485,4
1486,4
1487,4
1488,2
1489,5
1490,5
1491,4
1492,4
1493,4
1494,2
1495,4
1496,5
1497,4
1498,4
1499,4
1500,4
1501,4
1502,4
1503,4
1504,4
1505,4
1506,2
1507,4
1508,3
1509,3
1510,3
1511,4
1512,1
1513,4
1514,2
1515,1
1516,4
1517,2
1518,3
1519,4
1520,4
1521,4
1522,4
1523,4
1524,2
1525,4
1526,1
1527,2
1528,2
1529,4
1530,4
1531,2
1532,1
1533,4
1534,4
1535,4
1536,4
1537,4
1538,4
1539,4
1540,4
1541,4
1542,1
1543,3
1544,3
1545,4
1546,4
1547,4
1548,4
1549,4
1550,4
1551,2
1552,4
1553,5
1554,2
1555,1
1556,1
1557,2
1558,1
1559,2
1560,4
1561,4
1562,3
1563,4
1564,4
1565,3
1566,5
1567,4
1568,4
1569,1
1570,1
1571,5
1572,4
1573,1
1574,1
1575,1
1576,1
1577,3
1578,1
1579,1
1580,4
1581,5
1582,3
1583,3
1584,3
1585,4
1586,1
1587,1
1588,2
1589,5
1590,2
1591,2
1592,4
1593,4
1594,4
1595,2
1596,2
1597,1
1598,5
1599,5
1600,1
1601,3
1602,4
1603,5
1604,4
1605,4
1606,4
1607,4
1608,4
1609,1
1610,4
1611,4
1612,1
1613,4
1614,4
1615,4
1616,4
1617,4
1618,4
1619,2
1620,4
1621,4
1622,4
1623,4
1624,5
1625,5
1626,5
1627,5
1628,4
1629,1
1630,3
1631,4
1632,4
1633,4
1634,4
1635,2
1636,4
1637,4
1638,4
1639,1
1640,1
1641,1
1642,1
1643,4
1644,4
1645,4
1646,4
1647,4
1648,4
1649,4
1650,4
1651,1
1652,1
1653,4
1654,5
1655,2
1656,4
1657,1
1658,4
1659,4
1660,1
1661,4
1662,1
1663,4
1664,2
1665,2
1666,4
1667,4
1668,4
1669,4
1670,2
1671,3
1672,3
1673,4
1674,4
1675,4
1676,4
1677,5
1678,4
1679,4
1680,2
1681,4
1682,4
1683,4
1684,4
1685,4
1686,4
1687,4
1688,4
1689,4
1690,3
1691,3
1692,4
1693,4
1694,3
1695,4
1696,4
1697,1
1698,4
1699,4
1700,4
1701,1
1702,1
1703,2
1704,3
1705,4
1706,1
1707,4
1708,4
1709,4
1710,4
1711,4
1712,4
1713,4
1714,4
1715,4
1716,4
1717,4
1718,4
1719,4
1720,1
1721,1
1722,4
1723,2
1724,4
1725,2
1726,3
1727,1
1728,3
1729,1
1730,1
1731,1
1732,1
1733,1
1734,3
1735,4
1736,4
1737,4
1738,4
1739,4
1740,1
1741,1
1742,3
1743,3
1744,3
1745,3
1746,1
1747,1
1748,1
1749,1
1750,1
1751,1
1752,2
1753,1
1754,1
1755,3
1756,1
1757,1
1758,1
1759,1
1760,1
1761,1
1762,1
1763,1
1764,1
1765,4
1766,5
1767,4
1768,4
1769,4
1770,3
1771,2
1772,5
1773,1
1774,4
1775,1
1776,4
1777,4
1778,4
1779,4
1780,4
1781,3
1782,1
1783,1
1784,4
1785,1
1786,4
1787,4
1788,1
1789,4
1790,4
1791,4
1792,4
1793,1
1794,1
1795,2
1796,4
1797,4
1798,4
1799,1
1800,4
1801,1
1802,1
1803,1
1804,3
1805,1
1806,1
1807,1
1808,4
1809,4
1810,1
1811,4
1812,4
1813,4
1814,1
1815,1
1816,1
1817,1
1818,1
1819,1
1820,1
1821,1
1822,1
1823,1
1824,4
1825,4
1826,4
1827,1
1828,1
1829,1
1830,4
1831,4
1832,4
1833,1
1834,1
1835,1
1836,1
1837,1
1838,4
1839,1
1840,1
1841,1
1842,4
1843,1
1844,1
1845,1
1846,1
1847,4
1848,4
1849,4
1850,1
1851,4
1852,4
1853,1
1854,4
1855,4
1856,1
1857,4
1858,1
1859,4
1860,4
1861,4
1862,1
1863,1
1864,3
1865,4
1866,1
